file_name, minor, major, total, ownership, num_of_bugs
lucene/core/src/test/org/apache/lucene/index/TestSegmentReader.java,0, 6, 6, 40.0%, 0
solr/core/src/test-files/solr/conf/keep-2.txt,0, 1, 1, 100.0%, 0
lucene/core/src/java/org/apache/lucene/codecs/appending/AppendingPostingsFormat.java,0, 5, 5, 44.44%, 0
lucene/test-framework/src/java/org/apache/lucene/index/MockRandomMergePolicy.java,0, 4, 4, 25.0%, 0
lucene/facet/src/test/org/apache/lucene/util/encoding/EncodingTest.java,0, 2, 2, 50.0%, 0
solr/core/src/test-files/solr/conf/bad-schema-omit-tf-but-not-pos.xml,0, 1, 1, 100.0%, 0
solr/core/src/java/org/apache/solr/handler/component/FacetComponent.java,0, 6, 6, 16.67%, 0
solr/contrib/dataimporthandler/src/java/org/apache/solr/handler/dataimport/HttpDataSource.java,0, 2, 2, 75.0%, 0
lucene/analysis/common/src/test/org/apache/lucene/analysis/el/GreekAnalyzerTest.java,0, 1, 1, 100.0%, 0
lucene/suggest/src/java/org/apache/lucene/search/spell/WordBreakSpellChecker.java,0, 2, 2, 75.0%, 0
lucene/queryparser/src/test/org/apache/lucene/queryparser/flexible/spans/UniqueFieldAttributeImpl.java,0, 2, 2, 50.0%, 0
lucene/test-framework/src/java/org/apache/lucene/analysis/MockCharFilter.java,0, 4, 4, 40.0%, 0
lucene/test-framework/src/java/org/apache/lucene/store/_TestHelper.java,0, 2, 2, 50.0%, 0
lucene/core/src/java/org/apache/lucene/util/OpenBitSetDISI.java,0, 3, 3, 33.33%, 0
lucene/analysis/common/src/test/org/apache/lucene/analysis/core/TestStopFilter.java,0, 1, 1, 100.0%, 1
lucene/core/src/java/org/apache/lucene/codecs/TermVectorsWriter.java,0, 5, 5, 33.33%, 1
lucene/facet/src/test/org/apache/lucene/facet/taxonomy/directory/TestDirectoryTaxonomyWriter.java,0, 3, 3, 66.67%, 0
lucene/queryparser/src/java/org/apache/lucene/queryparser/flexible/standard/builders/BooleanQueryNodeBuilder.java,0, 2, 2, 50.0%, 0
solr/core/src/test/org/apache/solr/BasicFunctionalityTest.java,0, 10, 10, 29.41%, 0
solr/core/src/test/org/apache/solr/schema/TestCollationField.java,0, 3, 3, 66.67%, 0
dev-tools/size-estimator-lucene-solr.xls,0, 1, 1, 100.0%, 0
lucene/core/src/java/org/apache/lucene/search/DocIdSet.java,0, 2, 2, 50.0%, 0
lucene/analysis/common/src/java/org/apache/lucene/analysis/de/GermanStemmer.java,0, 2, 2, 50.0%, 0
solr/core/src/test/org/apache/solr/search/TestSurroundQueryParser.java,0, 1, 1, 100.0%, 0
solr/core/src/test-files/solr/conf/solrconfig-tlog.xml,0, 4, 4, 40.0%, 0
lucene/test-framework/lib/junit-NOTICE.txt,0, 1, 1, 100.0%, 0
solr/solrj/src/java/org/apache/solr/client/solrj/impl/HttpClientUtil.java,0, 2, 2, 50.0%, 0
lucene/analysis/common/src/test/org/apache/lucene/analysis/fa/TestPersianNormalizationFilter.java,0, 2, 2, 50.0%, 0
lucene/queryparser/src/java/org/apache/lucene/queryparser/flexible/core/nodes/OpaqueQueryNode.java,0, 2, 2, 50.0%, 0
lucene/core/src/java/org/apache/lucene/codecs/simpletext/SimpleTextPerDocProducer.java,0, 4, 4, 33.33%, 0
lucene/analysis/common/src/java/org/apache/lucene/analysis/fa/PersianNormalizationFilter.java,0, 2, 2, 50.0%, 0
solr/example/solr/conf/velocity/cluster.vm,0, 4, 4, 40.0%, 0
lucene/analysis/kuromoji/src/java/org/apache/lucene/analysis/ja/JapaneseBaseFormFilter.java,0, 2, 2, 50.0%, 0
lucene/core/src/java/org/apache/lucene/codecs/PostingsConsumer.java,0, 3, 3, 50.0%, 0
solr/contrib/uima/src/java/overview.html,0, 2, 2, 50.0%, 0
lucene/core/src/java/org/apache/lucene/index/ParallelPostingsArray.java,0, 2, 2, 50.0%, 0
lucene/facet/src/java/org/apache/lucene/facet/index/params/PerDimensionIndexingParams.java,0, 2, 2, 50.0%, 0
lucene/queryparser/src/java/org/apache/lucene/queryparser/flexible/core/nodes/FieldQueryNode.java,0, 2, 2, 50.0%, 0
lucene/benchmark/src/java/org/apache/lucene/benchmark/byTask/tasks/NewShingleAnalyzerTask.java,0, 2, 2, 50.0%, 0
lucene/queryparser/docs/xml/img/join.gif,0, 1, 1, 100.0%, 0
lucene/core/src/java/org/apache/lucene/codecs/lucene3x/package.html,0, 1, 1, 100.0%, 0
lucene/analysis/icu/src/java/org/apache/lucene/collation/tokenattributes/package.html,0, 1, 1, 100.0%, 0
solr/webapp/web/img/solr-ico.png,0, 1, 1, 100.0%, 0
solr/core/src/test-files/solr/conf/solrconfig-reqHandler.incl,0, 1, 1, 100.0%, 0
